date,value
20200102,46.540001
20200103,47.09
20200104,47.959999
20200107,48.52
20200108,49.779999
20200109,52.360001
20200110,52.59
20200111,51.59
20200114,50.509998
20200115,52.110001
20200116,52.310001
20200117,52.07
20200118,53.799999
20200122,52.57
20200123,52.619999
20200124,53.130001
20200125,53.689999
20200128,51.990002
20200129,53.310001
20200130,54.23
20200131,53.790001
20200201,55.259998
20200204,54.560001
20200205,53.66
20200206,54.009998
20200207,52.639999
20200208,52.720001
20200211,52.41
20200212,53.099998
20200213,53.900002
20200214,54.41
20200215,55.59
20200219,56.09
20200220,56.919998
20200221,56.959999
20200222,57.259998
20200225,55.48
20200226,55.5
20200227,56.939999
20200228,57.220001
20200301,55.799999
20200304,56.59
20200305,56.560001
20200306,56.220001
20200307,56.66
20200308,56.07
20200311,56.790001
20200312,56.869999
20200313,58.259998
20200314,58.610001
20200315,58.52
20200318,59.09
20200319,59.029999
20200320,59.830002
20200321,59.98
20200322,59.040001
20200325,58.82
20200326,59.939999
20200327,59.41
20200328,59.299999
20200329,60.139999
20200401,61.59
20200402,62.580002
20200403,62.459999
20200404,62.099998
20200405,63.080002
20200408,64.400002
20200409,63.98
20200410,64.610001
20200411,63.580002
20200412,63.889999
20200415,63.400002
20200416,64.050003
20200417,63.759998
20200418,64
20200422,65.699997
20200423,66.300003
20200424,65.889999
20200425,65.209999
20200426,63.299999
20200429,63.5
20200430,63.91
20200501,63.599998
20200502,61.810001
20200503,61.939999
20200506,62.25
20200507,61.400002
20200508,62.119999
20200509,61.700001
20200510,61.66
20200513,61.040001
20200514,61.779999
20200515,62.02
20200516,62.869999
20200517,62.759998
20200520,63.099998
20200521,62.990002
20200522,61.419998
20200523,57.91
20200524,58.630001
20200528,59.139999
20200529,58.810001
20200530,56.59
20200531,53.5
20200603,53.25
20200604,53.48
20200605,51.68
20200606,52.59
20200607,53.990002
20200610,53.259998
20200611,53.27
20200612,51.139999
20200613,52.279999
20200614,52.509998
20200617,51.93
20200618,53.900002
20200619,53.759998
20200620,56.650002
20200621,57.43
20200624,57.900002
20200625,57.830002
20200626,59.380001
20200627,59.43
20200628,58.470001
20200701,59.09
20200702,56.25
20200705,57.509998
20200708,57.66
20200709,57.830002
20200710,60.43
20200711,60.200001
20200712,60.209999
20200715,59.580002
20200716,57.619999
20200717,56.779999
20200718,55.299999
20200719,55.630001
20200722,56.220001
20200723,56.77
20200724,55.880001
20200725,56.02
20200726,56.200001
20200729,56.869999
20200730,58.049999
