date,value
20200102,60.369999
20200103,61.630001
20200104,62.009998
20200105,61.439999
20200108,61.73
20200109,62.959999
20200110,63.57
20200111,63.799999
20200112,64.300003
20200116,63.73
20200117,63.970001
20200118,63.950001
20200119,63.369999
20200122,63.490002
20200123,64.470001
20200124,65.610001
20200125,65.510002
20200126,66.139999
20200129,65.559998
20200130,64.5
20200131,64.730003
20200201,65.800003
20200202,65.449997
20200205,64.150002
20200206,63.389999
20200207,61.790001
20200208,61.150002
20200209,59.200001
20200212,59.290001
20200213,59.189999
20200214,60.599998
20200215,61.34
20200216,61.68
20200220,61.900002
20200221,61.68
20200222,62.77
20200223,63.549999
20200226,63.91
20200227,63.009998
20200228,61.639999
20200301,60.990002
20200302,61.25
20200305,62.57
20200306,62.599998
20200307,61.150002
20200308,60.119999
20200309,62.040001
20200312,61.360001
20200313,60.709999
20200314,60.959999
20200315,61.189999
20200316,62.34
20200319,62.060001
20200320,63.400002
20200321,65.169998
20200322,64.300003
20200323,65.879997
20200326,65.550003
20200327,65.25
20200328,64.379997
20200329,64.940002
20200402,63.009998
20200403,63.509998
20200404,63.369999
20200405,63.540001
20200406,62.060001
20200409,63.419998
20200410,65.510002
20200411,66.82
20200412,67.07
20200413,67.389999
20200416,66.220001
20200417,66.519997
20200418,68.470001
20200419,68.290001
20200420,68.379997
20200423,68.639999
20200424,67.699997
20200425,68.050003
20200426,68.190002
20200427,68.099998
20200430,68.57
20200501,67.25
20200502,67.93
20200503,68.43
20200504,69.720001
20200507,70.730003
20200508,69.059998
20200509,71.139999
20200510,71.360001
20200511,70.699997
20200514,70.959999
20200515,71.309998
20200516,71.489998
20200517,71.489998
20200518,71.279999
20200521,72.239998
20200522,72.129997
20200523,71.839996
20200524,70.709999
20200525,67.879997
20200529,66.730003
20200530,68.209999
20200531,67.040001
20200601,65.809998
20200604,64.75
20200605,65.519997
20200606,64.730003
20200607,65.949997
20200608,65.739998
20200611,66.099998
20200612,66.360001
20200613,66.639999
20200614,66.889999
20200615,65.059998
20200618,65.849998
20200619,65.07
20200620,66.220001
20200621,65.540001
20200622,68.580002
20200625,68.080002
20200626,70.529999
20200627,72.760002
20200628,73.449997
20200629,74.150002
20200702,73.940002
20200705,72.940002
20200706,73.800003
20200709,73.849998
20200710,74.110001
20200711,70.379997
20200712,70.330002
20200713,71.010002
20200716,68.059998
20200717,68.080002
20200718,68.760002
20200719,69.459999
20200720,70.459999
20200723,67.889999
20200724,68.519997
20200725,69.300003
20200726,69.610001
20200727,68.690002
20200730,70.129997
