date,value
20200104,19561.96094
20200107,20038.9707
20200108,20204.03906
20200109,20427.06055
20200110,20163.80078
20200111,20359.69922
20200115,20555.28906
20200116,20442.75
20200117,20402.26953
20200118,20666.07031
20200121,20719.33008
20200122,20622.91016
20200123,20593.7207
20200124,20574.63086
20200125,20773.56055
20200128,20649
20200129,20664.64063
20200130,20556.53906
20200131,20773.49023
20200201,20788.39063
20200204,20883.76953
20200205,20844.44922
20200206,20874.06055
20200207,20751.2793
20200208,20333.16992
20200212,20864.21094
20200213,21144.48047
20200214,21139.71094
20200215,20900.63086
20200218,21281.84961
20200219,21302.65039
20200220,21431.49023
20200221,21464.23047
20200222,21425.50977
20200225,21528.23047
20200226,21449.39063
20200227,21556.50977
20200228,21385.16016
20200301,21602.68945
20200304,21822.03906
20200305,21726.2793
20200306,21596.81055
20200307,21456.00977
20200308,21025.56055
20200311,21125.08984
20200312,21503.68945
20200313,21290.24023
20200314,21287.01953
20200315,21450.84961
20200318,21584.5
20200319,21566.84961
20200320,21608.91992
20200322,21627.33984
20200325,20977.10938
20200326,21428.39063
20200327,21378.73047
20200328,21033.75977
20200329,21205.81055
20200401,21509.0293
20200402,21505.31055
20200403,21713.21094
20200404,21724.94922
20200405,21807.5
20200408,21761.65039
20200409,21802.58984
20200410,21687.57031
20200411,21711.38086
20200412,21870.56055
20200415,22169.10938
20200416,22221.66016
20200417,22277.9707
20200418,22090.11914
20200419,22200.56055
20200422,22217.90039
20200423,22259.74023
20200424,22200
20200425,22307.58008
20200426,22258.73047
20200507,21923.7207
20200508,21602.58984
20200509,21402.13086
20200510,21344.91992
20200513,21191.2793
20200514,21067.23047
20200515,21188.56055
20200516,21062.98047
20200517,21250.08984
20200520,21301.73047
20200521,21272.44922
20200522,21283.36914
20200523,21151.14063
20200524,21117.2207
20200527,21182.58008
20200528,21260.14063
20200529,21003.36914
20200530,20942.5293
20200531,20601.18945
20200603,20410.88086
20200604,20408.53906
20200605,20776.09961
20200606,20774.03906
20200607,20884.71094
20200610,21134.41992
20200611,21204.2793
20200612,21129.7207
20200613,21032
20200614,21116.89063
20200617,21124
20200618,20972.71094
20200619,21333.86914
20200620,21462.85938
20200621,21258.64063
20200624,21285.99023
20200625,21193.81055
20200626,21086.58984
20200627,21338.16992
20200628,21275.91992
20200701,21729.9707
20200702,21754.26953
20200703,21638.16016
20200704,21702.44922
20200705,21746.38086
20200708,21534.34961
20200709,21565.15039
20200710,21533.48047
20200711,21643.5293
20200712,21685.90039
20200716,21535.25
20200717,21469.17969
20200718,21046.24023
20200719,21466.99023
20200722,21416.78906
20200723,21620.88086
20200724,21709.57031
20200725,21756.55078
20200726,21658.15039
20200729,21616.80078
20200730,21709.31055
20200731,21521.5293
