date,value
20200104,23506.33008
20200105,23714.5293
20200109,23849.99023
20200110,23788.19922
20200111,23710.42969
20200112,23653.82031
20200115,23714.88086
20200116,23951.81055
20200117,23868.33984
20200118,23763.36914
20200119,23808.06055
20200122,23816.33008
20200123,24124.15039
20200124,23940.7793
20200125,23669.49023
20200126,23631.88086
20200129,23629.33984
20200130,23291.9707
20200131,23098.28906
20200201,23486.10938
20200202,23274.5293
20200205,22682.08008
20200206,21610.24023
20200207,21645.36914
20200208,21890.85938
20200209,21382.61914
20200213,21244.67969
20200214,21154.16992
20200215,21464.98047
20200216,21720.25
20200219,22149.21094
20200220,21925.09961
20200221,21970.81055
20200222,21736.43945
20200223,21892.7793
20200226,22153.63086
20200227,22389.85938
20200228,22068.24023
20200301,21724.4707
20200302,21181.64063
20200305,21042.08984
20200306,21417.75977
20200307,21252.7207
20200308,21368.07031
20200309,21469.19922
20200312,21824.0293
20200313,21968.09961
20200314,21777.28906
20200315,21803.94922
20200316,21676.50977
20200319,21480.90039
20200320,21380.9707
20200322,21591.99023
20200323,20617.85938
20200326,20766.09961
20200327,21317.32031
20200328,21031.31055
20200329,21159.08008
20200330,21454.30078
20200402,21388.58008
20200403,21292.28906
20200404,21319.55078
20200405,21645.41992
20200406,21567.51953
20200409,21678.25977
20200410,21794.32031
20200411,21687.09961
20200412,21660.2793
20200413,21778.74023
20200416,21835.5293
20200417,21847.58984
20200418,22158.19922
20200419,22191.17969
20200420,22162.24023
20200423,22088.03906
20200424,22278.11914
20200425,22215.32031
20200426,22319.60938
20200427,22467.86914
20200501,22508.0293
20200502,22472.7793
20200507,22467.16016
20200508,22508.68945
20200509,22408.88086
20200510,22497.17969
20200511,22758.48047
20200514,22865.85938
20200515,22818.01953
20200516,22717.23047
20200517,22838.36914
20200518,22930.35938
20200521,23002.36914
20200522,22960.33984
20200523,22689.74023
20200524,22437.00977
20200525,22450.78906
20200528,22481.08984
20200529,22358.42969
20200530,22018.51953
20200531,22201.82031
20200601,22171.34961
20200604,22475.93945
20200605,22539.53906
20200606,22625.73047
20200607,22823.25977
20200608,22694.5
20200611,22804.03906
20200612,22878.34961
20200613,22966.38086
20200614,22738.60938
20200615,22851.75
20200618,22680.33008
20200619,22278.48047
20200620,22555.42969
20200621,22693.03906
20200622,22516.83008
20200625,22338.15039
20200626,22342
20200627,22271.76953
20200628,22270.39063
20200629,22304.50977
20200702,21811.92969
20200703,21785.53906
20200704,21717.03906
20200705,21546.99023
20200706,21788.14063
20200709,22052.17969
20200710,22196.89063
20200711,21932.21094
20200712,22187.96094
20200713,22597.34961
20200716,22597.34961
20200717,22697.35938
20200718,22794.18945
20200719,22764.67969
20200720,22697.88086
20200723,22396.99023
20200724,22510.48047
20200725,22614.25
20200726,22586.86914
20200727,22712.75
20200730,22544.83984
20200731,22553.7207
