date,value
20200106,23204.85938
20200107,23575.7207
20200108,23204.75977
20200109,23739.86914
20200110,23850.57031
20200114,24025.16992
20200115,23916.58008
20200116,23933.13086
20200117,24041.25977
20200120,24083.50977
20200121,23864.56055
20200122,24031.34961
20200123,23795.43945
20200124,23827.17969
20200127,23343.50977
20200128,23215.71094
20200129,23379.40039
20200130,22977.75
20200131,23205.17969
20200203,22971.93945
20200204,23084.58984
20200205,23319.56055
20200206,23873.58984
20200207,23827.98047
20200210,23685.98047
20200212,23861.21094
20200213,23827.73047
20200214,23687.58984
20200217,23523.24023
20200218,23193.80078
20200219,23400.69922
20200220,23479.15039
20200221,23386.74023
20200225,22605.41016
20200226,22426.18945
20200227,21948.23047
20200228,21142.96094
20200302,21344.08008
20200303,21082.73047
20200304,21100.06055
20200305,21329.11914
20200306,20749.75
20200309,19698.75977
20200310,19867.11914
20200311,19416.06055
20200312,18559.63086
20200313,17431.05078
20200316,17002.03906
20200317,17011.5293
20200318,16726.55078
20200319,16552.83008
20200323,16887.7793
20200324,18092.34961
20200325,19546.63086
20200326,18664.59961
20200327,19389.42969
20200330,19084.9707
20200331,18917.00977
20200401,18065.41016
20200402,17818.7207
20200403,17820.18945
20200406,18576.30078
20200407,18950.17969
20200408,19353.24023
20200409,19345.76953
20200410,19498.5
20200413,19043.40039
20200414,19638.81055
20200415,19550.08984
20200416,19290.19922
20200417,19897.25977
20200420,19669.11914
20200421,19280.7793
20200422,19137.94922
20200423,19429.43945
20200424,19262
20200427,19783.2207
20200428,19771.18945
20200430,20193.68945
20200501,19619.34961
20200507,19674.76953
20200508,20179.08984
20200511,20390.66016
20200512,20366.48047
20200513,20267.05078
20200514,19914.7793
20200515,20037.4707
20200518,20133.73047
20200519,20433.44922
20200520,20595.15039
20200521,20552.31055
20200522,20388.16016
20200525,20741.65039
20200526,21271.16992
20200527,21419.23047
20200528,21916.31055
20200529,21877.89063
20200601,22062.39063
20200602,22325.60938
20200603,22613.75977
20200604,22695.74023
20200605,22863.73047
20200608,23178.09961
20200609,23091.0293
20200610,23124.94922
20200611,22472.91016
20200612,22305.48047
20200615,21530.94922
20200616,22582.21094
20200617,22455.75977
20200618,22355.46094
20200619,22478.78906
20200622,22437.26953
20200623,22549.05078
20200624,22534.32031
20200625,22259.78906
20200626,22512.08008
20200629,21995.03906
20200630,22288.14063
20200701,22121.73047
20200702,22145.96094
20200703,22306.48047
20200706,22714.43945
20200707,22614.68945
20200708,22438.65039
20200709,22529.28906
20200710,22290.81055
20200713,22784.74023
20200714,22587.00977
20200715,22945.5
20200716,22770.35938
20200717,22696.41992
20200720,22717.48047
20200721,22884.2207
20200722,22751.60938
20200727,22715.84961
20200728,22657.38086
20200729,22397.10938
20200730,22339.23047
20200731,21710
