date,value
20200103,1160.400024
20200104,1163.800049
20200105,1179.699951
20200106,1171.900024
20200109,1183.5
20200110,1184.199951
20200111,1195.599976
20200112,1198.900024
20200113,1195.300049
20200117,1212
20200118,1211.300049
20200119,1200.900024
20200120,1204.300049
20200123,1215
20200124,1210.300049
20200125,1197.300049
20200126,1189.5
20200127,1188.099976
20200130,1193.199951
20200131,1208.599976
20200201,1205.599976
20200202,1216.699951
20200203,1218.5
20200206,1230
20200207,1234.199951
20200208,1237.599976
20200209,1235.099976
20200210,1234.400024
20200213,1224.400024
20200214,1223.900024
20200215,1231.699951
20200216,1240
20200217,1237.599976
20200221,1237.5
20200222,1232
20200223,1250.199951
20200224,1256.900024
20200227,1257.400024
20200228,1252.599976
20200301,1248.900024
20200302,1231.900024
20200303,1225.5
20200306,1224.5
20200307,1215.099976
20200308,1208.5
20200309,1202.400024
20200310,1200.699951
20200313,1202.400024
20200314,1201.900024
20200315,1200.099976
20200316,1226.5
20200317,1229.800049
20200320,1233.599976
20200321,1246.099976
20200322,1249.300049
20200323,1246.900024
20200324,1248.199951
20200327,1255.400024
20200328,1255.300049
20200329,1253.400024
20200330,1245
20200331,1247.300049
20200403,1250.800049
20200404,1255
20200405,1245.400024
20200406,1250.300049
20200407,1254.300049
20200410,1251.099976
20200411,1271.199951
20200412,1275.300049
20200413,1285.900024
20200417,1289.400024
20200418,1291.699951
20200419,1281.400024
20200420,1281.900024
20200421,1287.400024
20200424,1275.800049
20200425,1265.599976
20200426,1262.099976
20200427,1263.699951
20200428,1266.099976
20200501,1253.300049
20200502,1255.099976
20200503,1246.400024
20200504,1226.5
20200505,1224.800049
20200508,1225.300049
20200509,1214.300049
20200510,1217.300049
20200511,1222.699951
20200512,1226.199951
20200515,1228.599976
20200516,1235
20200517,1257.5
20200518,1251.699951
20200519,1252.699951
20200522,1260.699951
20200523,1254.800049
20200524,1252.400024
20200525,1255.800049
20200526,1267.599976
20200530,1262.099976
20200531,1272
20200601,1267
20200602,1276.800049
20200605,1279.300049
20200606,1294.400024
20200607,1290.099976
20200608,1276.300049
20200609,1268.5
20200612,1266.099976
20200613,1265.800049
20200614,1272.800049
20200615,1252.199951
20200616,1254
20200619,1244.199951
20200620,1241
20200621,1243.400024
20200622,1247.599976
20200623,1256.199951
20200626,1246.300049
20200627,1246.400024
20200628,1248
20200629,1244.199951
20200630,1240.699951
20200705,1220.400024
20200706,1222.199951
20200707,1208.599976
20200710,1212.099976
20200711,1213.599976
20200712,1218.099976
20200713,1216.300049
20200714,1226.599976
20200717,1232.800049
20200718,1241.099976
20200719,1241.199951
20200720,1244.800049
20200721,1254.300049
20200724,1253.900024
20200725,1251.699951
20200726,1249
20200727,1259.599976
20200728,1268.400024
