date,value
20200102,1281
20200103,1291.800049
20200104,1282.699951
20200106,1285.699951
20200107,1286.800049
20200108,1283.199951
20200109,1289.300049
20200110,1284.699951
20200111,1287.099976
20200113,1288.300049
20200114,1289.099976
20200115,1286.199951
20200116,1291.599976
20200117,1291
20200118,1281.300049
20200120,1282.099976
20200122,1282.5
20200123,1283.099976
20200124,1279.099976
20200125,1297.400024
20200127,1299.599976
20200128,1302.400024
20200129,1308.199951
20200130,1309.900024
20200131,1319.699951
20200201,1316.900024
20200203,1322
20200204,1314.300049
20200205,1314.199951
20200206,1309.5
20200207,1309.400024
20200208,1313.699951
20200210,1317.599976
20200211,1307
20200212,1309.199951
20200213,1310.800049
20200214,1309.800049
20200215,1318.099976
20200217,1324.199951
20200219,1340.099976
20200220,1343.300049
20200221,1323.5
20200222,1329.199951
20200224,1330.199951
20200225,1325.900024
20200226,1325.099976
20200227,1317.699951
20200228,1312.800049
20200301,1296.400024
20200303,1296.300049
20200304,1284.800049
20200305,1282
20200306,1284.900024
20200307,1283.800049
20200308,1297
20200310,1297.599976
20200311,1288.800049
20200312,1296.300049
20200313,1307.5
20200314,1293.400024
20200315,1301.800049
20200317,1300.800049
20200318,1300.300049
20200319,1305
20200320,1300.5
20200321,1306.099976
20200322,1311.599976
20200324,1311.900024
20200325,1321.900024
20200326,1314.300049
20200327,1309.900024
20200328,1289.800049
20200329,1293
20200331,1296.699951
20200401,1288.400024
20200402,1290
20200403,1289.900024
20200404,1289
20200405,1290.400024
20200407,1295.599976
20200408,1297.099976
20200409,1303.5
20200410,1309.099976
20200411,1288.599976
20200412,1290.599976
20200414,1292.599976
20200415,1286.800049
20200416,1272.599976
20200417,1272.199951
20200418,1271.900024
20200421,1279
20200422,1273.5
20200423,1269.300049
20200424,1275.5
20200425,1275.800049
20200426,1284.900024
20200428,1288.199951
20200429,1278.599976
20200430,1282.800049
20200501,1281.400024
20200502,1269.699951
20200503,1279.199951
20200505,1285
20200506,1281.699951
20200507,1283.5
20200508,1279.400024
20200509,1283.5
20200510,1285.699951
20200512,1288.300049
20200513,1300.099976
20200514,1294.699951
20200515,1296.300049
20200516,1285
20200517,1274.5
20200519,1277.099976
20200520,1276.099976
20200521,1272
20200522,1273.599976
20200523,1284.800049
20200524,1283
20200526,1284.099976
20200528,1276.5
20200529,1280.599976
20200530,1287.099976
20200531,1305.800049
20200602,1313.699951
20200603,1322.699951
20200604,1323.400024
20200605,1328.300049
20200606,1337.599976
20200607,1341.199951
20200609,1339.5
20200610,1324.699951
20200611,1326.400024
20200612,1331.900024
20200613,1339.199951
20200614,1340.099976
20200616,1342.5
20200617,1338.699951
20200618,1346.599976
20200619,1344.599976
20200620,1392.900024
20200621,1396.199951
20200623,1409.5
20200624,1414.300049
20200625,1414.900024
20200626,1411.599976
20200627,1408.400024
20200628,1409.699951
20200630,1395.5
20200701,1385.599976
20200702,1404.599976
20200705,1396.699951
20200707,1398.900024
20200708,1397
20200709,1397.5
20200710,1410.099976
20200711,1404.300049
20200712,1409.900024
20200714,1418.099976
20200715,1411.400024
20200716,1409.199951
20200717,1421.300049
20200718,1426.099976
20200719,1425.099976
20200721,1426.5
20200722,1425.300049
20200723,1420.099976
20200724,1422.800049
20200725,1413.900024
20200726,1418.5
20200728,1420.300049
20200729,1419.599976
20200730,1429.699951
